region,country,city,population,gdp_per_capita
North America,USA,New York,8400000,65000
North America,USA,Los Angeles,4000000,58000
North America,USA,Chicago,2700000,54000
North America,Canada,Toronto,2700000,52000
North America,Canada,Montreal,1700000,48000
North America,Mexico,Mexico City,9200000,18000
North America,Mexico,Guadalajara,1500000,16000
Europe,Germany,Berlin,3700000,47000
Europe,Germany,Munich,1500000,52000
Europe,Germany,Hamburg,1900000,49000
Europe,France,Paris,2200000,42000
Europe,France,Lyon,510000,38000
Europe,UK,London,9000000,45000
Europe,UK,Manchester,550000,35000
Europe,Spain,Madrid,3200000,33000
Europe,Spain,Barcelona,1600000,31000
Asia,China,Shanghai,24000000,23000
Asia,China,Beijing,21000000,25000
Asia,China,Guangzhou,13000000,22000
Asia,Japan,Tokyo,14000000,41000
Asia,Japan,Osaka,19000000,35000
Asia,India,Mumbai,20000000,8000
Asia,India,Delhi,29000000,7500
Asia,India,Bangalore,12000000,12000